03-05, Pit, Southern Kitchen, Seasoned Scrambled Eggs, Breakfast (7am-11am)
03-06, Pit, Self Serve Options, Skim Milk, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Chocolate Milk, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Brewed Coffee, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Madagascar Vanilla Coffee Creamer, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Salted Caramel Coffee Creamer, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Cinnamon Churro Coffee Creamer, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Uproot Oatmilk, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Uproot Chocolate Peamilk, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Uproot Soymilk, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Tractor Beverage Strawberry Dragonfruit, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Tractor Beverage Mango, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Tractor Beverage Farmer's Punch, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Rice Chex Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Cheerios Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Lucky Charms Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Froot Loops Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Apple Jacks Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Cinnamon Toast Crunch Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Rice Krispies, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Cocoa Puffs, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Raisin Bran Cereal, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Vanilla Soft Serve Ice Cream, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Chocolate Soft Serve Ice Cream, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Vanilla Frozen Yogurt, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Chocolate Frozen Yogurt, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Golden Malted Waffle, Lunch (11am-2pm)
03-06, Pit, Self Serve Options, Pancake & Waffle Syrup, Lunch (11am-2pm)
03-06, Pit, Southern Kitchen, Chicken Parmesan, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen, Linguine, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen, Italian Green Beans, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen, Chef's Special, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen, Marinara Sauce, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen, Garlic Breadstick, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen Corner, Sliced Salami, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen Corner, Pepperoni, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen Corner, Sharp Cheddar Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Southern Kitchen Corner, Red Pepper Pimento Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Allgood, Indian Spiced Chicken, Dinner (4:30pm-9pm)
03-06, Pit, Allgood, Herb Roasted Red Potatoes, Dinner (4:30pm-9pm)
03-06, Pit, Allgood, Ginger Green Beans, Dinner (4:30pm-9pm)
03-06, Pit, Allgood, Honey Roasted Carrots, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Chopped Kale, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Honey Berry Vinaigrette, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Diced Chicken, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Ruby Wild Grain Blend, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Roasted Sweet Potatoes, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Red Cabbage, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Broccoli Florets, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Creation Station, Dried Cranberries, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Fresh Fruit Salad, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Mandarin Oranges, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Blueberries, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Sliced Strawberries, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Sunflower Seeds, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Fresh Mint, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Honey, Dinner (4:30pm-9pm)
03-06, Pit, Allgood - Salad Bar, Chia Seeds, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Curried Chickpeas, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Brown Rice, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Steamed Green Beans, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Roasted Summer Vegetables, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Tomato Cucumber Herb Salad, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Fresh Scallions, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Vegan Shredded Mozzarella, Dinner (4:30pm-9pm)
03-06, Pit, Vegan Station, Curried Cauliflower Soup, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Chef's Special, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Grilled Seasoned Chicken Breast, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Fresh Cut Fries, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Beyond Burger Patty, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Turkey Burger Patty, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Gardenburger Black Bean Patty, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Hamburger Roll, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, American Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Sliced Swiss Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Sliced Pepperjack Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Leaf Lettuce, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Sliced Red Onions, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Dill Pickle Slices, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Chipotle Mayonnaise, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Ranch Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Pico de Gallo, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Whole Grain Mustard, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Jalepeno Pepper Pimento Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Bacon Onion Jam, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Old-Fashioned Coleslaw, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Dill Pickle Spears, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Pickled Red Onion, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Pickled Carrot, Dinner (4:30pm-9pm)
03-06, Pit, Black & Gold Grill, Pickled Okra, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Thai Pineapple Fried Rice, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Brown Rice, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Vietnamese Grilled Chicken, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Crispy Tofu, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Seasoned Scrambled Eggs, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Broccoli Florets, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Sliced Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Snow Peas, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Shredded Carrots, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Fresh Scallions, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Mushrooms, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Pineapple, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Green Peas, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Baby Corn, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Water Chestnuts, Dinner (4:30pm-9pm)
03-06, Pit, International Grill, Zucchini, Dinner (4:30pm-9pm)
03-06, Pit, International Grill - Continued, Vegetable Egg Roll, Dinner (4:30pm-9pm)
03-06, Pit, International Grill - Continued, Steamed Edamame, Dinner (4:30pm-9pm)
03-06, Pit, Hearthstone Freshly Made Pizza, Buffalo Chicken Pizza, Dinner (4:30pm-9pm)
03-06, Pit, Hearthstone Freshly Made Pizza, Sausage & Pepperoni Pizza, Dinner (4:30pm-9pm)
03-06, Pit, Hearthstone Freshly Made Pizza, Spinach & Mushroom Pizza, Dinner (4:30pm-9pm)
03-06, Pit, Hearthstone Freshly Made Pizza, Pepperoni Pizza, Dinner (4:30pm-9pm)
03-06, Pit, Hearthstone Freshly Made Pizza, Cheese Pizza, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Flatbread, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Seasoned Cauliflower Pizza Crust, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Marinara Sauce, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Crumbled Sausage, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Pepperoni, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Flatbread Pizza, Shredded Mozzarella Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Today's Pasta Specials, Cajun Alfredo Penne Pasta, Dinner (4:30pm-9pm)
03-06, Pit, Today's Pasta Specials, Bacon Spinach Salad, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Whole Grain Penne Pasta, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Cavatappi, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Linguine, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Gluten Free Penne Pasta, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Marinara Sauce, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Homemade Alfredo Sauce, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Bolognese Sauce, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Basil Pesto, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Butter, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Minced Garlic, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Diced Seasoned Chicken, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Crumbled Sausage, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Crumbled Chorizo Sausage, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Pepperoni, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Diced Tofu, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Mussels, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Baby Spinach, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Broccoli Florets, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Diced Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Sweet Corn, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Green Peas, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Edamame, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Sliced Black Olives, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Diced Yellow Onion, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Roasted Red Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Artichoke Hearts, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Sun-Dried Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Mushrooms, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Shredded Parmesan Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Pastabilities, Breadsticks, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Fresh Cracked Scrambled Egg, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Cage Free Egg Whites, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Crumbled Sausage, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Crumbled Chorizo Sausage, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Diced Ham, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Real Bacon Pieces, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Steamed Diced Red Potatoes, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Feta Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Broccoli Florets, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Baby Spinach, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Mushrooms, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Fire-Roasted Salsa, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Diced Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Pico de Gallo, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Diced Yellow Onion, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Sliced Black Olives, Dinner (4:30pm-9pm)
03-06, Pit, Create Your Own Omelette, Jalapeno Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Freshly Made Hot Bowl Of..., Creamy Corn Chowder, Dinner (4:30pm-9pm)
03-06, Pit, Freshly Made Hot Bowl Of..., Chicken Noodle Soup, Dinner (4:30pm-9pm)
03-06, Pit, Deli Specials, Antipasto Salad, Dinner (4:30pm-9pm)
03-06, Pit, Deli Specials, Old-Fashioned Coleslaw, Dinner (4:30pm-9pm)
03-06, Pit, Deli Specials, Balsamic Marinated Grape Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Turkey Breast, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Virginia Ham, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Roast Beef, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Salami, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Deli Pepperoni, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Cheddar Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Pepperjack Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Provolone Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Leaf Lettuce, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Baby Spinach, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Cucumber, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Red Onions, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Dill Pickle Slices, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Banana Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Sliced Black Olives, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Avocado, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Hummus, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Basil Pesto, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Honey Mustard Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Mayonnaise, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Chipotle Mayonnaise, Dinner (4:30pm-9pm)
03-06, Pit, Marketplace Deli, Signature Chips, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, White Bread Slice, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Wheat Bread Slice, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Multigrain Bread Slice, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Rye Bread Slice, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Ciabatta Roll, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Spinach and Herb Tortilla, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Tomato Basil Wrap, Dinner (4:30pm-9pm)
03-06, Pit, Select Breads, Flour Tortilla, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Plain Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Whole Wheat Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Blueberry Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Cinnamon Raisin Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Sesame Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Everything Bagel, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Orange Marmalade, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Strawberry Preserves, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Sun Butter, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Whipped Cream Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Bagel Station, Whipped Butter, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Cantaloupe, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Honeydew Melon, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Pineapple, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Red Grapefruit, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Seedless Raisins, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Housemade Cinnamon-Honey Granola, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Honey, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Flax Seed, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Chia Seeds, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Dried Cranberries, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Blueberries, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Diced Mango, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Mixed Berry Mojo Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Spring Break Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Strawberry Banana Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Peachy Keen Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Endless Summer Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Orange Cream Dream Smoothie, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Apples, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Oranges, Dinner (4:30pm-9pm)
03-06, Pit, Chobani Yogurt And Fruit, Bananas, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Romaine Lettuce, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Chopped Iceberg Lettuce, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Field Greens, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Baby Spinach, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Couscous, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Barley, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Shrimp Orzo Salad, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Greek Chickpea Salad, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Grape Tomatoes, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Shredded Carrots, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Sliced Cucumber, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Broccoli Florets, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Cauliflower Florets, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Mushrooms, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, French Fried Onions, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Goldfish (R) Crackers, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Seasoned Croutons, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Sunflower Seeds, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Greens & Grains, Pumpkin Seeds, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Ranch Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Honey Mustard Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Caesar Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Balsamic Vinaigrette, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Blue Cheese Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Honey Berry Vinaigrette, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Housemade Dressings, Creamy Herbed Vinaigrette Dressing, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Sliced Grilled Chicken, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Flaked Salmon, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Diced Fried Tofu, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Fresh Mozzarella, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Chopped Hard-Cooked Egg, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Feta Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Cottage Cheese, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Mandarin Oranges, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Edamame, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Green Peas, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Roasted Sweet Potatoes, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Roasted Asparagus, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Black Bean & Corn Salad, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Yellow Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Sliced Bell Peppers, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Sliced Red Onions, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Sliced Beets, Dinner (4:30pm-9pm)
03-06, Pit, Performance Dining - Proteins & More Greens, Red Cabbage, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, 2% Milk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Skim Milk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Chocolate Milk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Brewed Coffee, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Madagascar Vanilla Coffee Creamer, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Salted Caramel Coffee Creamer, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Cinnamon Churro Coffee Creamer, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Uproot Oatmilk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Uproot Chocolate Peamilk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Uproot Soymilk, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Tractor Beverage Strawberry Dragonfruit, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Tractor Beverage Mango, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Tractor Beverage Farmer's Punch, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Rice Chex Cereal, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Cheerios Cereal, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Lucky Charms Cereal, Dinner (4:30pm-9pm)
03-06, Pit, Self Serve Options, Froot Loops Cereal, Dinner (4:30pm-9pm)
